Value of Number,Scholion,Image
2,urn:cts:greekLit:tlg5026.msA:20.4@φίλος,"urn:cite2:hmt:vaimg.2017a:VA169VN_0671@0.2892,0.3978,0.01142,0.01162"
1,urn:cts:greekLit:tlg5026.msA:20.4@φόβος,"urn:cite2:hmt:vaimg.2017a:VA169VN_0671@0.3160,0.3986,0.01142,0.01272"
